X,Y,FID,GEODB_OID,GEODB_SUBT,OBJECTID,ASSETID,OWNER,MAINTRESP,LOCATIONID,IMAGEPATH,BIKEPARKTY,NUMSPACES,NUMUNITS,BPLEVEL,BPSTYLE,FINISH,MOUNTING,COVERED,BPFUND,ROTATION
-122.683297369459595,45.525252354772753,2001,2601,BPRackST,2601,5220-0002935,PDXTRANS,PDXTRANS,BF27315, ,5220,2,0, ,STAPLE, , ,N, ,180
-122.614053492935767,45.538599628761752,2002,2201,BPRackST,2201,5220-0002893,PDXTRANS,PDXTRANS,BF14559, ,5220,0,0, ,STAPLE, , ,N, ,271
-122.67647652825103,45.519969475601656,2003,2001,BPRackST,2001,5220-0002650,PDXTRANS,PDXTRANS,BF66960, ,5220,0,0, ,STAPLE, , , , ,0
-122.674136355181261,45.525187668465861,2004,2101,BPRackST,2101,5220-0001544,PDXTRANS,PDXTRANS,BF29000, ,5220,2,0, ,STAPLE, , ,N, ,0
-122.677849180460015,45.520678823846005,2005,2701,BPRackST,2701,5220-0003029,PDXTRANS,PDXTRANS,BF57708, ,5220,2,0, ,STNLES, , , , ,65
-122.680526089464522,45.522699025788889,2006,2301,BPRackST,2301,5220-0000087,PDXTRANS,UNKNOWN,BF64272, ,5220,0,0, ,STAPLE, , ,U, ,0
-122.681395796181434,45.518339939004711,2007,2501,BPRackST,2501,5220-0004065,PDXTRANS,PDXPARKS,BF66192, ,5220,2,0, ,UNK, , ,N,Y,0
-122.673573577863849,45.521724381329811,2008,2801,BPRackST,2801,5220-0003125,PDXTRANS,PDXTRANS,BF56169, ,5220,0,0, ,STAPLE, , , , ,65
-122.756590339930511,45.591555251507252,2009,2502,BPRackST,2502,5220-0004066,PDXTRANS,PDXTRANS,BF1973, ,5220,2,0, ,STAPLE, , ,N,Y,126
-122.677403514154761,45.520216980579185,2010,2002,BPRackST,2002,5220-0002657,PDXTRANS,PDXTRANS,BF66961, ,5220,0,0, ,STAPLE, , , , ,65
-122.616810459602533,45.537397562889858,2011,2202,BPRackST,2202,5220-0002894,PDXTRANS,PDXTRANS,BF25177, ,5220,0,0, ,STAPLE, , ,N, ,41
-122.677858985710031,45.520664056025282,2012,2702,BPRackST,2702,5220-0003030,PDXTRANS,PDXTRANS,BF57708, ,5220,2,0, ,STAPLE, , , , ,65
-122.680576672079383,45.522712506093576,2013,2302,BPRackST,2302,5220-0000055,PDXTRANS,UNKNOWN,BF64272, ,5220,0,0, ,STAPLE, , ,U, ,0
-122.673569511602338,45.521731696961425,2014,2802,BPRackST,2802,5220-0003126,PDXTRANS,PDXTRANS,BF56169, ,5220,0,0, ,STAPLE, , , , ,65
-122.682031469712115,45.524440974349346,2015,2602,BPRackST,2602,5220-0002936,PDXTRANS,PDXTRANS,BF28921, ,5220,0,0, ,UNK, , ,N, ,0
-122.685614255598139,45.518042518563945,2016,2102,BPRackST,2102,5220-0001827,PDXTRANS,PDXTRANS,BF54778, ,5220,0,0, ,STAPLE, , , , ,0
-122.756734904418053,45.591489912224525,2017,2503,BPRackST,2503,5220-0004067,PDXTRANS,PDXTRANS,BF1973, ,5220,2,0, ,STAPLE, , ,N,Y,126
-122.67637503827433,45.523387749739427,2018,2703,BPRackST,2703,5220-0003031,PDXTRANS,PDXTRANS,BF28231, ,5220,2,0, ,STNLES, , , , ,180
-122.677470900681996,45.520355960762927,2019,2003,BPRackST,2003,5220-0002653,PDXTRANS,PDXTRANS,BF66979, ,5220,0,0, ,STAPLE, , , , ,65
-122.614087591791971,45.538624213970586,2020,2203,BPRackST,2203,5220-0002895,PDXTRANS,PDXTRANS,BF25180, ,5220,0,0, ,STAPLE, , , , ,215
